subject,cond,age,gender,eth,inc,house,edu
376,2,38,m,Filipino,10,6,2
377,3,50,f,WHITE,6,2,4
378,4,25,f,WHITE,3,2,2
378,4,25,f,WHITE,3,2,2
379,5,23,f,WHITE,6,2,2
380,6,26,f,White,1,4,3
382,0,20,f,black,2,4,1
383,1,26,f,Black/Hispanic,0,1,3
384,2,32,f,White,2,2,4
385,3,22,f,white,10,2,2
386,4,24,f,Caucasian,5,2,4
387,5,27,f,hispanic,5,2,2
389,7,21,m,American Indian,2,3,2
390,0,32,m,Asian,5,3,4
391,1,25,m,White,2,1,2
392,2,32,f,White,5,2,3
393,3,27,f,white,2,1,6
395,5,45,f,White,8,3,2
396,6,32,m,white,2,2,1
397,7,23,m,Caucasian,2,1,5
398,0,26,f,Asian/Filipino and white,8,2,4
399,1,32,m,caucasian,10,2,3
400,2,19,m,White,8,4,2
401,3,21,f,black,3,3,2
402,4,29,f,black,0,2,6
403,5,32,f,PACIFIC ISLANDER,5,4,4
404,6,34,f,white,4,1,6
405,7,19,m,White,10,3,2
406,0,23,f,white,1,1,2
407,1,30,m,white,6,2,4
408,2,24,f,Caucasian,5,1,4
409,3,36,f,white,4,1,3
410,4,24,f,White,3,3,4
411,5,20,m,White,10,3,1
412,6,35,f,white,5,3,5
413,7,25,f,White,2,2,2
414,0,20,f,Brazilian/White,3,4,0
415,1,22,m,White,2,3,4
416,2,19,f,Black,11,3,2
417,3,49,m,white,6,4,3
418,4,29,m,Middle Eastern,6,3,6
419,5,23,f,White,8,3,6
420,6,23,m,White,6,4,4
421,7,24,m,White,8,4,2
422,0,41,m,White,10,6,5
423,1,27,m,Caucasian,10,3,4
424,2,27,f,White,4,2,6
425,3,37,f,native american,3,5,0
426,4,23,m,white,4,4,4
427,5,33,m,white,5,1,4
428,6,43,f,White,4,3,2
429,7,55,f,white,3,2,2
430,0,36,m,white,6,5,2
431,1,39,m,White,3,4,3
433,3,27,f,Caucasian,4,2,4
435,5,36,m,White,4,2,1
436,6,56,f,White,4,2,2
437,7,30,f,white,1,1,5
438,0,46,f,caucasian,6,4,3
439,1,21,m,Hispanic,1,3,2
440,2,35,f,hispanic,7,3,2
441,3,29,f,White,0,2,2
442,4,21,m,White,4,1,2
443,5,34,f,White,6,3,6
444,6,23,m,Asian,2,2,2
445,7,34,m,White,2,5,2
446,0,22,m,Black,2,4,2
447,1,33,m,Native American and white,1,2,0
448,2,55,f,White,5,1,6
449,3,26,m,hispanic,4,3,3
450,4,28,m,white,5,2,1
451,5,26,m,Hispanic,7,2,4
452,6,25,f,asian,1,1,1
453,7,24,m,Asian,4,3,4
454,0,59,f,white,2,2,3
455,1,39,f,black / african-american,10,3,2
456,2,29,f,White,3,4,2
457,3,24,f,white,10,4,2
458,4,22,m,white,0,1,2
459,5,20,m,Hispanic,3,6,2
460,6,26,f,Asian,5,5,4
461,7,43,m,white,2,1,4
462,0,25,f,white,1,3,2
463,1,28,f,white,2,1,1
464,2,27,f,BLACK,7,7,4
465,3,28,m,White,2,1,4
466,4,25,f,african american,4,7,2
467,5,26,f,white,7,3,4
468,6,31,m,Hispanic American,5,2,5
469,7,24,m,white,0,2,2
470,0,31,m,white,1,1,3
471,1,38,f,Caucasian,0,1,4
472,2,25,m,White,1,1,2
473,3,25,m,ASIAN,2,3,4
474,4,26,f,White,5,3,4
475,5,45,m,white,5,3,2
476,6,24,m,caucasian,4,1,1
477,7,40,m,Asian,3,1,6
478,0,42,f,African American,6,3,4
479,1,27,m,WHITE,4,1,2
480,2,30,m,White,6,4,1
481,3,29,f,Caucasian asian mix,2,2,2
482,4,22,m,Asian American,10,5,1
483,5,32,m,white,1,3,1
484,6,23,f,White,0,1,4
486,0,32,m,white,3,3,1
487,1,31,m,White,4,2,2
488,2,24,m,White,5,2,4
489,3,23,m,Asian,6,3,4
490,4,28,m,asian,6,4,4
491,5,29,f,white,4,3,3
493,7,31,m,African-american,2,3,2
494,0,35,f,Caucasian,5,2,4
495,1,25,f,White,3,1,4
496,2,30,f,Mixed,7,2,2
497,3,28,m,hispanic,4,0,2
498,4,28,m,hispanic,7,0,6
499,5,43,m,Asian,5,6,1
500,6,27,f,White,5,2,4
